Time,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,2025-10-27-HC20-Zenon_HC20N12,2025-10-27-HC20-Zenon_HC20Y14,2025-10-27-HC20-Zenon_HC20Y15,2025-10-27-HC20-Zenon_HC20Y18,2025-10-27-HC20-Zenon_HC20Y17,2025-10-27-HC20-Zenon_FIHC20F13,2025-10-27-HC20-Zenon_HC20Y16,2025-10-27-HC20-Zenon_LIHC20L10,2025-10-27-HC20-Zenon_HC20N11,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,Module_HC10_Dosing,Module_HC10_Stirring,Module_HC10_Conveying,Module_HC10_Storage,Module_HC10_Heating,Module_HC10Y20,Module_HC10Y21,Module_HC10Y22,Module_HC10Y17,Module_HC10N12,Module_HC10N12_1,Module_HC10N13,Module_HC10N15,Module_Main,Module_Jacket,Module_HC10F16,Module_HC10L11,Module_HC10T10,Module_HC10T15
Thu Apr  9 15:39:58 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.00019619998056441545,False,395.06500244140625,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Execute,False,False,False,0.0,0,0,0,1.0,0,False,0.0,95.5999984741211,21.615341186523438,20.84000015258789
Thu Apr  9 15:40:09 2026,Idle,Execute,Not used,Not used,1,45.6929817199707,False,False,True,0.002419800031930208,False,395.1016540527344,0,Idle,Execute,Not used,Not used,Idle,Idle,Idle,Idle,Execute,False,False,False,0.0,0,0,0,1.0,0,False,0.0,95.5999984741211,21.615341186523438,20.84000015258789
Thu Apr  9 15:40:25 2026,Idle,Idle,Not used,Not used,0,0.0,False,False,False,0.0763871967792511,False,395.39501953125,0,Idle,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Execute,False,False,False,0.0,0,0,0,1.0,0,False,0.0,95.4000015258789,21.620607376098633,20.84000015258789
