Time,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,2025-10-27-HC20-Zenon_HC20N12,2025-10-27-HC20-Zenon_HC20Y14,2025-10-27-HC20-Zenon_HC20Y15,2025-10-27-HC20-Zenon_HC20Y18,2025-10-27-HC20-Zenon_HC20Y17,2025-10-27-HC20-Zenon_FIHC20F13,2025-10-27-HC20-Zenon_HC20Y16,2025-10-27-HC20-Zenon_LIHC20L10,2025-10-27-HC20-Zenon_HC20N11,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,Module_HC10_Dosing,Module_HC10_Stirring,Module_HC10_Conveying,Module_HC10_Storage,Module_HC10_Heating,Module_HC10Y20,Module_HC10Y21,Module_HC10Y22,Module_HC10Y17,Module_HC10N12,Module_HC10N12_1,Module_HC10N13,Module_HC10N15,Module_Main,Module_Jacket,Module_HC10F16,Module_HC10L11,Module_HC10T10,Module_HC10T15
Thu Mar 12 17:32:19 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.19999694824219,25.170543670654297,30.729999542236328
Thu Mar 12 17:32:30 2026,Idle,Execute,Not used,Not used,1,0.0,False,False,True,0.0,False,0.0,0,Idle,Execute,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.19999694824219,25.165273666381836,30.729999542236328
Thu Mar 12 17:32:45 2026,Idle,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,0,Idle,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Completed,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.30000305175781,25.165273666381836,30.729999542236328
Thu Mar 12 17:32:47 2026,Idle,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,0,Idle,Idle,Not used,Not used,Completed,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.19999694824219,25.165273666381836,30.729999542236328
Thu Mar 12 17:32:49 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.0,25.165273666381836,30.729999542236328
Thu Mar 12 17:33:00 2026,Idle,Execute,Not used,Not used,1,0.0,False,False,True,0.0,False,0.0,0,Idle,Execute,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.0,25.170543670654297,30.729999542236328
Thu Mar 12 17:33:16 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.19999694824219,25.165273666381836,30.729999542236328
