Time,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,2025-10-27-HC20-Zenon_HC20N12,2025-10-27-HC20-Zenon_HC20Y14,2025-10-27-HC20-Zenon_HC20Y15,2025-10-27-HC20-Zenon_HC20Y18,2025-10-27-HC20-Zenon_HC20Y17,2025-10-27-HC20-Zenon_FIHC20F13,2025-10-27-HC20-Zenon_HC20Y16,2025-10-27-HC20-Zenon_LIHC20L10,2025-10-27-HC20-Zenon_HC20N11,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,Module_HC10_Dosing,Module_HC10_Stirring,Module_HC10_Conveying,Module_HC10_Storage,Module_HC10_Heating,Module_HC10Y20,Module_HC10Y21,Module_HC10Y22,Module_HC10Y17,Module_HC10N12,Module_HC10N12_1,Module_HC10N13,Module_HC10N15,Module_Main,Module_Jacket,Module_HC10F16,Module_HC10L11,Module_HC10T10,Module_HC10T15
Thu Apr  9 15:38:31 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.00019619998056441545,False,394.8450012207031,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Execute,False,False,False,0.0,0,0,0,1.0,0,False,0.0,95.4000015258789,21.615360260009766,20.84000015258789
Thu Apr  9 15:38:42 2026,Idle,Execute,Not used,Not used,1,45.6292724609375,False,False,True,0.0,False,395.1199951171875,0,Idle,Execute,Not used,Not used,Idle,Idle,Idle,Idle,Execute,False,False,False,0.0,0,0,0,1.0,0,False,0.0,95.4000015258789,21.615360260009766,20.84000015258789
Thu Apr  9 15:38:58 2026,Idle,Idle,Not used,Not used,0,0.0,False,False,False,0.08273099362850189,False,395.17498779296875,0,Idle,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Execute,False,False,False,0.0,0,0,0,1.0,0,False,0.0,95.80000305175781,21.615360260009766,20.84000015258789
