Time,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,2025-10-27-HC20-Zenon_HC20N12,2025-10-27-HC20-Zenon_HC20Y14,2025-10-27-HC20-Zenon_HC20Y15,2025-10-27-HC20-Zenon_HC20Y18,2025-10-27-HC20-Zenon_HC20Y17,2025-10-27-HC20-Zenon_FIHC20F13,2025-10-27-HC20-Zenon_HC20Y16,2025-10-27-HC20-Zenon_LIHC20L10,2025-10-27-HC20-Zenon_HC20N11,2025-10-27-HC20-Zenon_HC20_Stirring,2025-10-27-HC20-Zenon_HC20_Dosing,2025-10-27-HC20-Zenon_HC20_Storage,2025-10-27-HC20-Zenon_HC20_Conveying,Module_HC10_Dosing,Module_HC10_Stirring,Module_HC10_Conveying,Module_HC10_Storage,Module_HC10_Heating,Module_HC10Y20,Module_HC10Y21,Module_HC10Y22,Module_HC10Y17,Module_HC10N12,Module_HC10N12_1,Module_HC10N13,Module_HC10N15,Module_Main,Module_Jacket,Module_HC10F16,Module_HC10L11,Module_HC10T10,Module_HC10T15
Thu Mar 12 16:48:15 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.19999694824219,24.227380752563477,31.18000030517578
Thu Mar 12 16:48:26 2026,Idle,Execute,Not used,Not used,1,0.0,False,False,True,0.0,False,0.0,0,Idle,Execute,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.0999984741211,24.232669830322266,31.18000030517578
Thu Mar 12 16:48:41 2026,Idle,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,0,Idle,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Completed,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.0999984741211,24.25899887084961,31.190000534057617
Thu Mar 12 16:48:43 2026,Idle,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,0,Idle,Idle,Not used,Not used,Completed,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.0999984741211,24.25899887084961,31.18000030517578
Thu Mar 12 16:48:45 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.0999984741211,24.25899887084961,31.18000030517578
Thu Mar 12 16:48:56 2026,Idle,Execute,Not used,Not used,1,0.0,False,False,True,0.0,False,0.0,0,Idle,Execute,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.5,24.2642879486084,31.18000030517578
Thu Mar 12 16:49:12 2026,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.0,False,0.0,1,Execute,Idle,Not used,Not used,Idle,Idle,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,0,False,0.0,103.19999694824219,24.28534698486328,31.18000030517578
